Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
1072,23/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉತ್ಪಾದನೆಯು ಬೇಡಿಕೆಯನುಸಾರ ಕುಂಠಿತವಅಗಿರುವುದು,Electricity generation is a stagnant demand,ಬಾದರ್ಲಿ ಹಂಪನಗೌಡ,Bādarli Hampana Gowda
1073,23/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಜಲ್ಲಿ ಕ್ರಷರ್ ಗಳು,Gravel Crushers,ಬಾಲಕೃಷ್ಣ ಹೆಚ್.ಸಿ.,Balakrishna H C 
1074,23/07/2013,ಇಂಧನ,Fuel,ಹೊಸ ವಿದ್ಯುತ್ ಉಪ ಕೇಂದ್ರಗಳನ್ನು ತೆರೆಯುವುದು,Opening new power sub-centers,ಬಸವರಾಜ್ ಬಿ.ಎ.,Basavaraj BA
1075,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕುಡಿಯುವ ನೀರಿನ ಸಮಸ್ಯೆ,Drinking water problem,ಬಸವರಾಜ್ ಬಿ.ಎ.,Basavaraj BA
1076,23/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಲೋಕಾಯುಕ್ತ ವರದಿ,Lokayukta report,ಬಸವರಾಜ ರಾಯರೆಡ್ಡಿ,Basavaraja Royareddy
1077,23/07/2013,ಗೃಹ,Home,ರಾಜ್ಯದಲ್ಲಿ ನಕ್ಸಲ್ ಚಟುವಟಿಕೆ,Naxal activity in the state,ಬಸವರಾಜ ರಾಯರೆಡ್ಡಿ,Basavaraja Royareddy
1078,23/07/2013,ಗೃಹ,Home,ಕಾವೇರಿ ಪ್ರತಿಭಟನೆ ಮೊಕದ್ದಮೆಗಳ ವಾಪಸಾತಿ,Cauvery protest lawsuit withdrawal,ಚೆಲುವರಾಯಸ್ವಾಮಿ,Cheluvaraswamy
1079,23/07/2013,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ,Large and medium enterprise,ಹೆಚ್.ಎ.ಎಲ್. ಕೈಗಾರಿಕಾ ಘಟಕ ಸ್ಥಾಪನೆ,HAL. Establishment of Industrial Unit,ಅಜಯ್ ಸಿಂಗ್,Ajay Singh
1080,23/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಅಧಿಕಾರಿಗಳ ಕೊರತೆ,Lack of officials,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ.,Mālaka Reddy AB
1081,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ವಿಲೇವಾರಿ ಇಲ್ಲದಿದ್ದರೂ ಶುಲ್ಕ ವಸೂಲಿ,Feel free to charge a fee,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ.,Mālaka Reddy AB
1082,23/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಹುತ್ ಕೊರತೆ,Lack of knowledge,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ.,Mālaka Reddy AB
1083,23/07/2013,ಇಂಧನ,Fuel,ಪರಿವರ್ತಕಗಳ ಕೊರತೆ,Lack of transformers,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ.,Mālaka Reddy AB
1084,23/07/2013,ಗೃಹ,Home,ಸಂಚಾರಿ ಪೋಲಿಸ್ ಠಾಣೆಗಳು,Traffic police stations,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ.,Mālaka Reddy AB
1085,23/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಬೆರಳಚ್ಚು ಮತ್ತು ಶೀಘ್ರ ಲಿಪಿಕಾರರ ಹುದ್ದೆ ಭರ್ತಿ ಮಾಡುವುದು,Filling up the fingerprint and quick scrip,ಉಮೇಶ್ ಜಿ. ಜಾಧವ್,Umesh G  Jadhav
1086,23/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ವೈದ್ಯಾಧಿಕಾರಿಗಳ ಹುದ್ದೆ ಭರ್ತಿ ಮಾಡುವುದು,Filling up the post of Veterinary Medical Officers,ಉಮೇಶ್ ಜಿ. ಜಾಧವ್,Umesh G  Jadhav
1087,23/07/2013,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರ,Law and Parliamentary Affairs,ಮಾನವ ಹಕ್ಕು ಆಯೋಗದ ವರದಿಯ ಮೇಲೆ ಕ್ರಮ,Action on Human Rights Commission Report,ಈಶ್ವರ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
1088,23/07/2013,ಗೃಹ,Home,ಪತ್ತೆಯಾದ ವಿವಿಧ ಪ್ರಕರಣಗಳು,Various cases discovered,ಈಶ್ವರ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
1089,23/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ವಿವಿಧ ಇಲಾಖೆಗಳಲ್ಲಿರುವ ಖಾಲಿ ಹುದ್ದೆಗಳು,Vacancies in various departments,ಈಶ್ವರ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
1090,23/07/2013,ಇಂಧನ,Fuel,ನಿರಂತರ ಜ್ಯೋತಿ ವಿದ್ಯುತ್ ಯೋಜನೆ,Continuous Jyothi Power Project,ಈಶ್ವರ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
1091,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕಾಮಾಕ್ಷಿ ಪಾಳ್ಯ ಬಡಾವಣೆಯನ್ನು ಡಿನೋಟಿಫಿಕೇಷನ್ ಮಾಡುವ ಬಗ್ಗೆ,About denotification of Kamakshi Palya Layout,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1092,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬಿ.ಬಿ.ಎಂ.ಪಿ. ವ್ಯಾಪ್ತಿಯ ಕೆರೆಗಳ ಸರ್ವೆ ಕಾರ್ಯದಲ್ಲಿ ವಿಳಂಬ,BBMP Delay in range of survey lanes of coverage,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1093,23/07/2013,ಇಂಧನ,Fuel,ಹೈ ಟೆನ್ ಷನ್ ಲೈನ್ ಗಳ ಪರ್ಯಾಯ ವ್ಯವಸ್ಥೆ,High Ten Lines Alternative System,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1094,23/07/2013,ಗೃಹ,Home,ಬೆಂಗಳೂರು ನಗರ ಹಾಗು ಸುತ್ತಮುತ್ತ ಎ.ಟಿ.ಎಂ.ಗಳ ದರೋಡೆ,The robbery of ATMs around and around Bangalore city,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1095,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬೆಂಗಳೂರು ನಗರದಲ್ಲಿ ಆಧಾರ್ ಕಾಡ್ರ್ ಪಡೆದವರು ಸಂಖ್ಯೆ,Number of recipients of Aadhaar Cadr in Bangalore city,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1096,23/07/2013,ಗೃಹ,Home,ರೈತರ ಮೇಲಿನ ಮೊಕದ್ದಮ್ಮೆ ಗಳು,Farmers are sued,ಗೋವಿಂದ ಎಂ ಕಾರಜೋಳ,Govinda M  Karajola
1097,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕೆ.ಎಂ.ಆರ್.ಪಿ. ಯೋಜನೆಯಡಿ ಕೈಗೊಂಡಿರುವ ಕಾಮಗಾರಿಗಳು,KMRP Works under the scheme,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
1098,23/07/2013,ಆರ್ಥಿಕ,Economy,ರಾಜ್ಯದಲ್ಲಿ ಸಂಗ್ರಹವಾಗಿರುವ ಸಂಪನ್ಮೂಲಗಳು,Resources stored in the state,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
1099,23/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಇಲಾಖೆಯ ಆಧುನೀಕರಣ,Modernization of the Police Department,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
1100,23/07/2013,ಗೃಹ,Home,ಧರ್ಮವೀರ ಆಯೋಗದ ವರದಿಯ ಅನುಷ್ಠಾನ,Implementation of the report of the Dharmasthira Commission,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
1101,23/07/2013,ಆರ್ಥಿಕ,Economy,ವಿಶ್ವ ಬಂಡವಾಳ ಹೂಡಿಕೆದಾರರ ಸಮಾವೇಶ,World Investor Convention,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
1102,23/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುಚ್ಛಕ್ತಿ ಬಳಕೆದಾರರ ಆಕ್ರಮ ಪ್ರಕರಣಗಳು,Power consumers attack cases,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
1103,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬಿ.ಬಿ.ಎಂ.ಪಿ. ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ನಿರ್ಮಿಸಿರುವ ಗಗನಚುಂಬಿ ಕಟ್ಟಡಗಳು ಮತ್ತು ಸುರಕ್ಷತಾ ಕ್ರಮಗಳು,BBMP Skyscrapers and safety measures built in range,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
1104,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕೆರೆಗಳ ಅಭಿವೃದ್ಧಿ,Development of lakes,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
1105,23/07/2013,ಆರ್ಥಿಕ,Economy,ಬಿ.ಬಿ.ಎಂ.ಪಿ. ಯ ಒಟ್ಟು ಆದಾಯ ಮತ್ತು ಸಾಲದ ಪ್ರಮಾಣ,BBMP Total Income and Loan Amount,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
1106,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ರಾಜ್ಯದ ಕೈಗಾರಿಕಾ ನೀತಿಯ ಪ್ರಗತಿ,Progress of state industrial policy,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
1107,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಭೂಸ್ವಾಧೀನ ಜಮೀನು,Land Acquisition,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್.,Jagdish Kumar R 
1108,23/07/2013,ಇಂಧನ,Fuel,ಅಗತ್ಯವಿರುವ ವಿದ್ಯುತ್ ಉತ್ಪಾದನೆ,Required Power Production,ಜಗದೀಶ್ ಶೆಟ್ಟರ್,Jagadish Shettar
1109,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕಸ ವಿಲೇವಾರಿಗೆ ಗುರುತಿಸಲಾದ ಡಂಪಿಂಗ್ ಯಾಡ್Fಗಳು,Dumping yd ft detected for garbage disposal,ಜಗದೀಶ್ ಶೆಟ್ಟರ್,Jagadish Shettar
1110,23/07/2013,ಆರ್ಥಿಕ,Economy,ನಕ್ಸಲ್ ಪೀಡಿತ ಪ್ರದೇಶದ ನೌಕರರಿಗೆ ವಿಶೇಷ ಭತ್ಯೆ,Special allowance for employees of Naxal affected area,ಜೀವರಾಜ್ ಡಿ.ಎನ್.,Jivaraj DN
1111,23/07/2013,ಗೃಹ,Home,ಅಗ್ನಿಶಾಮಕ ಠಾಣೆಯ ಮಂಜೂರಾತಿ,Approval of fire station,ಜೊಲ್ಲೆ ಶಿಶಿಕಲಾ ಅಣ್ಣಾಸಾಹೇಬ್,Joel Shishikala Annasaheb
1112,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,KIADB ವತಿಯಿಂದ ಜಮೀನು ಸ್ವಾಧೀನ,Land acquisition by KIADB,ಕೃಷ್ಣಾ ರೆಡ್ಡಿ ಎಂ,Krishna Reddy M 
1113,23/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ವೈದ್ಯಾಲಯವನ್ನು ಮಂಜೂರು ಮಾಡುವುದು,Sanctioning the sanctuary,ಕೃಷ್ಣಪ್ಪ ಎಂ.ಟಿ.,Krishnappa M T 
1114,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಹೊಸ ಬೆಂಗಳೂರು ನಿರ್ಮಾಣ,New Bangalore Construction,ಕೃಷ್ಣಪ್ಪ ಎಂ.ಟಿ.,Krishnappa M T 
1115,23/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ವಿತರಣಾ ಉಪಕೇಂದ್ರ ಸ್ಥಗಿತಗೊಂಡಿರುವುದು,The power distribution sub-station is suspended,ಕುಮಾರಸ್ವಾಮಿ ಹೆಚ್.ಕೆ.,Kumaraswamy HK
1116,23/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಖಾಲಿ ಹುದ್ದೆಗಳ ಭರ್ತಿ,Fill in blank posts,ಕುಮಾರಸ್ವಾಮಿ ಹೆಚ್.ಕೆ.,Kumaraswamy HK
1117,23/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಅಧಿಕಾರಿಗಳ ಮೆಸ್,Mess. Of Police Officers,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
1118,23/07/2013,ಗೃಹ,Home,ಲೋಕಾಯುಕ್ತ ಮತ್ತು ಸಿ.ಐ.ಡಿ. ತನಿಖಾ ಪ್ರಕರಣಗಳು,Lokayukta and CID Investigative cases,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
1119,23/07/2013,ಆರ್ಥಿಕ,Economy,ಕರ್ನಾಟಕ ರಾಜ್ಯ ಹಣಕಾಸು ಸಂಸ್ಥೆಯಿಂದ ಪಡೆದುಕೊಂಡಿರುವ ಸಾಲ,Debt from Karnataka State Financial Institution,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
1120,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕೈಗಾರಿಕೆಗಳ ಸ್ಥಾಪನೆಗೆ ಮಂಜೂರು ಮಾಡಿರುವ ಭೂಮಿ,Land allotted to establish industries,ಮಲ್ಲಿಕಾರ್ಜುನ ಎಸ್.ಎಸ್.,Mallikarjuna SS
1121,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕೆರೆ ಒತ್ತುವರಿ,Lake Enclosure,ಮುನಿರಾಜು ಎಸ್.,Muniraju S 
1122,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕಾವೇರಿ ನೀರು ಸರಬರಾಜು,Cauvery Water Supply,ಮುನಿರಾಜು ಎಸ್.,Muniraju S 
1123,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಅನಧೀಕೃತವಾಗಿ ನೀರನ್ನು ಮಾರಾಟ ಮಾಡುವುದು,Unauthorized water sales,ಮುನಿರತ್ನಂ,Munirathnam
1124,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,“ಬಿ” ಖಾತೆ ನೀಡಿರುವ ಪ್ರಕರಣಗಳು,"Cases of ""B"" account",ಮುನಿರತ್ನಂ,Munirathnam
1125,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕಲ್ಯಾಣ ಮಂಟಪಗಳು,Welfare halls,ಮುನಿರತ್ನಂ,Munirathnam
1126,23/07/2013,ರೇಷ್ಮೆ,Silk,ರೇಷ್ಮೆ ಇಲಾಖೆಯ ಯೋಜನೆಗಳು,Silk Department Plans,ನಾಗೇಂದ್ರ ಬಿ.,Nagendra B 
1127,23/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾ ಆಸ್ಪತ್ರೆಗಳನ್ನು ಮೇಲ್ದರ್ಜೆಗೇರಿಸುವುದು,Upgrading Veterinary Clinic Hospitals,ನಾಗೇಂದ್ರ ಬಿ.,Nagendra B 
1128,23/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶುಚಿಕಿತ್ಸೆಗಳಲ್ಲಿರುವ ಖಾಲಿ ಹುದ್ದೆಗಳು,Empty vacancies in veterinary treatments,ನಾಗೇಂದ್ರ ಬಿ.,Nagendra B 
1129,23/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಠಾಣೆಗಳಿಗೆ ಹೊಸ ಕಟ್ಟಡ ನಿರ್ಮಾಣ,Building a new building for police stations,ನಾಗೇಂದ್ರ ಬಿ.,Nagendra B 
1130,23/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉಪಕೇಂದ್ರಗಳ ಮಂಜೂರಾತಿ,Allocation of power subcategories,ನಾಗೇಂದ್ರ ಬಿ.,Nagendra B 
1131,23/07/2013,ಇಂಧನ,Fuel,ಜಲವಿದ್ಯುತ್ ಉತ್ಪಾದನಾ ಕೇಂದ್ರಗಳ,Hydroelectric Production Centers,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ.ಎಂ.,Narendra Swami PM
1132,23/07/2013,ಇಂದನ,From now on,ಟ್ರಾನ್ಸ್ ಫಾರ್ಮರ್ ಗಳ ದುರಸ್ತಿ,Repair of transmers,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ.ಎಂ.,Narendra Swami PM
1133,23/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಬಂಡೂರು ತಳಿ ಕುರಿ ಅಭಿವೃದ್ದಿ ಕೇಂದ್ರ,Bred Breed Sheep Development Center,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ.ಎಂ.,Narendra Swami PM
1134,23/07/2013,ಇಂಧನ,Fuel,ಖಾಲಿಯಿರುವ ಇಂಜನಿಯರ್ ಗಳು ಹುದ್ದೆಗಳು,Vacant engineers are posts,ಪಾಟೀಲ್ ಬಿ.ಆರ್.,Patil BR
1135,23/07/2013,ಆರ್ಥಿಕ,Economy,ಬಂಡವಾಳ ಹೂಡಿಕೆ ಸಮಾವೇಶದ ವಿವರಗಳು,Details of Investment Conference,ಪ್ರಕಾಶ್ ಹೆಚ್.ಎಸ್.,Prakash HS
1136,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕೆ.ಐ.ಎ.ಡಿ.ಬಿ.ರವರು ವಶಪಡಿಸಿಕೊಂಡಿರುವ ಜಮೀನು,Land acquired by KIADB,ಪ್ರಕಾಶ್ ಹೆಚ್.ಎಸ್.,Prakash HS
1137,23/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಕ್ರೀಡಾಕೂಟಗಳಿಗೆ ಅನುದಾನ,Grant to Police Games,ಪ್ರಮೋದ್ ಮಧ್ವರಾಜ್,Pramod Madhwaraj
1138,23/07/2013,ಇಂಧನ,Fuel,ಹೊಸದಾಗಿ 33 ಕೆ.ವಿ. ಸ್ಷೇಷನ್ ನಿರ್ಮಾಣ,Newly 33 kv Session build,ಪ್ರತಾಪಗೌಡ ಪಾಟೀಲ್,Pratap Gowda Patil
1139,23/07/2013,ಇಂಧನ,Fuel,110 ಕೆ.ವಿ. ಸ್ಷೇಷನ್ ನಿರ್ಮಾಣ,110 KV Session build,ಪ್ರತಾಪಗೌಡ ಪಾಟೀಲ್,Pratap Gowda Patil
1140,23/07/2013,ಇಂಧನ,Fuel,ಟ್ರಾನ್ಸ್ ಫಾರ್ಮರ್ ಗಳ ಕೊರತೆ,Lack of transmers,ಪ್ರತಾಪಗೌಡ ಪಾಟೀಲ್,Pratap Gowda Patil
1141,23/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಅನಧೀಕೃತವಾಗಿ ಗಣಿಗಾರಿಕೆ ನಡೆಸುತ್ತಿರುವುದು,Unauthorized mining,ಪುಟ್ಟಣ್ಣಯ್ಯ ಕೆ.ಎಸ್.,Puttannaiah K S 
1142,23/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ತಾಲ್ಲೂಕು ಮತ್ತು ಜಿಲ್ಲಾ ಕೇಂದ್ರಗಳಲ್ಲಿ ಯುವಕರಿಗೆ ಉದ್ಯೋಗ,Employment for young people at Taluk and District Centers,ಪುಟ್ಟಣ್ಣಯ್ಯ ಕೆ.ಎಸ್.,Puttannaiah K S 
1143,23/07/2013,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರ,Law and Parliamentary Affairs,ಗ್ರಾಮ ನ್ಯಾಯಾಲಯ ಮಾಡುವುದು,To do the village court,ಪುಟ್ಟಣ್ಣಯ್ಯ ಕೆ.ಎಸ್.,Puttannaiah K S 
1144,23/07/2013,ಗೃಹ,Home,ಅಗ್ನಿಶಾಮಕ ಠಾಣೆಗಳನ್ನು ತೆರೆಯುವುದು,Open fire stations,ರಾಜಣ್ಣ ಎಂ,Rajanna M 
1145,23/07/2013,ರೇಷ್ಮೆ,Silk,ರೇಷ್ಮೆ ಕೈಗಾರಿಕೆಗಳನ್ನು ಸ್ಥಾಪಿಸುವುದು,Establish silk industries,ರಾಜಣ್ಣ ಎಂ,Rajanna M 
1146,23/07/2013,ಇಂಧನ,Fuel,ಹಳೆಯ ವಿದ್ಯುತ್ ತಂತಿಗಳನ್ನು ಒದಲಾಯಿಸುವುದು,Extraction of old power strings,ರಾಜೀವ್ ಪಿ.,Rajiv P 
1147,23/07/2013,ಗೃಹ,Home,ಜನ ಸ್ನೇಹಿ ಪೋಲಿಸ್ ವ್ಯವಸ್ಥೆ,People friendly police system,ರಾಜೀವ್ ಪಿ.,Rajiv P 
1148,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕೈಗಾರಿಕಾ ವಲಯ ನಿರ್ಮಾಣಕ್ಕೆ ಭೂಮಿ ವಶಪಡಿಸಿಕೊಂಡಿರುವುದು,Land Acquisition for Industrial Zone,ರವಿ ಸಿ.ಟಿ.,Ravi CT
1149,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಪಾಲಿಕೆ ಆರೋಗ್ಯ ಕೇಂದ್ರಗಳಲ್ಲಿ ವೈದ್ಯರ ಕೊರತೆ,Lack of doctors at sterilization centers,ರವಿಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ.,Ravi Brahmanya L A 
1150,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಮೂಲಭೂತ ಸೌಕರ್ಯ ಕುರಿತು,About infrastructure,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
1151,23/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಕಂಪನಿಗಳು ನಷ್ಟದಲ್ಲಿರುವುದು,Electric companies are at a loss,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
1152,23/07/2013,ಗೃಹ,Home,ಹೋಂಗಾಡ್ರ್ ನೌಕರರನ್ನು ಖಾಯಂಗೊಳಿಸುವುದು,Employees of Hong Kong Employees,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
1153,23/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಬೆಳಗಾವಿ ಸುವರ್ಣ ವಿಧಾನ ಸೌಧ,Belgaum Suvarna Method Soudha,ಸಂಜಯ ಬಿ. ಪಾಟೀಲ್,Sanjaya B  Patil
1154,23/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಖಾಲಿ ಹುದ್ದೆಗಳ ಭರ್ತಿ,Fill in blank posts,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ.,Shivalinge Gowda KM
1155,23/07/2013,ಇಂಧನ,Fuel,MUSS ಕೇಂದ್ರ ಸ್ಥಾಪಿಸುವುದು,Establishment of MUSS Center,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ.,Shivalinge Gowda KM
1156,23/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಆಕ್ರಮ ಮರಳು ದಂಧೆ,Occupation sand dump,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1157,23/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ವಸತಿ ಗೃಹಗಳು ನಿರ್ಮಾಣ,Police Residential Buildings,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1158,23/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಸಂಪರ್ಕವಿಲ್ಲದೆ ತೊಂದರೆಯಾಗಿರುವುದು,Bother without electricity connection,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1159,23/07/2013,ಇಂಧನ,Fuel,ಪರಿವರ್ತಕಗಳು ಸುಟ್ಟುಹೋಗಿರುವ ಬಗ್ಗೆ,Converters are burned,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1160,23/07/2013,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರ,Law and Parliamentary Affairs,ಗೋಹತ್ಯೆ ನಿಷೇಧ ಕಾನೂನು ಜಾರಿ,The carnage ban is law enforcement,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1161,23/07/2013,ಗೃಹ,Home,ಅತ್ಯಾಚಾರ ಪ್ರಕರಣಗಳು,Rape cases,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1162,23/07/2013,ಗೃಹ,Home,ಯುವತಿಯರ ನಾಪತ್ತೆ ಪ್ರಕರಣಗಳು,The missing cases of young girls,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1163,23/07/2013,ಗೃಹ,Home,ನಕ್ಸಲ್ ಪೀಡಿತ ಗ್ರಾಮಗಳ ಅಭಿವೃದ್ದಿ,Development of Naxal affected villages,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1164,23/07/2013,ಇಂಧನ,Fuel,ವಾರಾಹಿ ವಿದ್ಯುತ್ ಯೋಜನೆ,Varahi Electricity Project,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1165,23/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉಪಸ್ಥಾವನಗಳನ್ನು ತೆರೆಯುವುದು,Opening power supplies,ಸುರೇಶ್ ಬಾಬು ಸಿ.ಬಿ.,Suresh Babu CB
